seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
31,2025,aware,8616,327951699.5903162,677830.0628134112,327273869.5275028,1481547600.0,4090923.369093785,327951699.59031624,-1.817482417375788e-14
37,2021,aware,8760,333375796.1237784,716425.6498944152,332659370.473884,1503558000.0,4158242.1309235496,333375796.1237784,0.0
37,2022,aware,8760,338445435.5726774,1929595.2912800014,336515840.2813974,1521493200.0,4206448.0035174675,338445435.57267743,-1.7611301116983503e-14
37,2023,aware,8760,337098700.16239345,920404.4267520979,336178295.73564136,1520906400.0,4202228.696695517,337098700.16239345,0.0
37,2024,aware,8784,334556495.30737364,762830.6877215256,333793664.6196521,1508713200.0,4172420.8077456513,334556495.30737364,0.0
37,2025,aware,8616,328744774.1694669,671254.1760873075,328073519.9933796,1485270000.0,4100918.9999172445,328744774.16946685,1.813097863714318e-14
42,2021,aware,8760,336579763.05714923,756249.5948439678,335823513.4623053,1518804000.0,4197793.918278816,336579763.05714923,0.0
42,2022,aware,8760,335562859.56771857,1894287.7186405244,333668571.84907806,1508076000.0,4170857.148113476,335562859.5677186,-1.7762586971685418e-14
42,2023,aware,8760,337300964.455052,956965.1165298007,336343999.33852214,1521759600.0,4204299.991731527,337300964.45505196,1.7671056728725547e-14
42,2024,aware,8784,335029424.9932198,746546.154124625,334282878.8390951,1510765200.0,4178535.9854886895,335029424.99321973,1.7790868601048072e-14
42,2025,aware,8616,328233519.1484194,712002.0060002329,327521517.1424191,1482627600.0,4094018.9642802393,328233519.1484194,0.0
53,2021,aware,8760,338225481.1606965,776327.9656564684,337449153.19504,1524927600.0,4218114.414938,338225481.16069645,1.7622754078386982e-14
53,2022,aware,8760,333619299.72920054,1912565.1882311013,331706734.54096943,1500958800.0,4146334.1817621184,333619299.72920054,0.0
53,2023,aware,8760,338612403.1732749,980310.7991828028,337632092.37409204,1526774400.0,4220401.1546761505,338612403.1732748,1.7602617097546107e-14
53,2024,aware,8784,334585814.41710156,746517.8807181146,333839296.53638345,1508922000.0,4172991.2067047935,334585814.41710156,0.0
53,2025,aware,8616,328821708.0006868,693992.2300284405,328127715.7706584,1484539200.0,4101596.44713323,328821708.0006868,0.0
0,2021,horizon,8760,334633317.57903385,694916.9126291561,333938400.66640466,1508673600.0,4174230.008330059,334633317.57903385,0.0
0,2022,horizon,8760,337571461.0203041,1893285.497652854,335678175.5226513,1517389200.0,4195977.19403314,337571461.02030414,-1.7656896881992506e-14
0,2023,horizon,8760,337597975.58210313,843098.9402869114,336754876.64181626,1521518400.0,4209435.9580227025,337597975.58210313,0.0
0,2024,horizon,8784,335642009.48140097,712783.769762332,334929225.7116386,1513072800.0,4186615.321395483,335642009.48140097,0.0
0,2025,horizon,8616,328428325.3963134,658052.5971245138,327770272.79918885,1482174000.0,4097128.409989861,328428325.39631337,1.8148448281208966e-14
1,2021,horizon,8760,334239653.0235406,705664.8999073231,333533988.12363327,1508673600.0,4169174.851545416,334239653.02354056,1.7832906489761304e-14
1,2022,horizon,8760,337251753.0576047,1852147.976087773,335399605.08151686,1517310000.0,4192495.063518961,337251753.0576047,0.0
1,2023,horizon,8760,337580890.72016644,906315.2066903427,336674575.5134761,1521579600.0,4208432.193918451,337580890.7201664,1.7656403669128053e-14
1,2024,horizon,8784,335502060.2074069,693767.5646237454,334808292.64278316,1513090800.0,4185103.6580347903,335502060.20740694,-1.776580589059367e-14
1,2025,horizon,8616,328456432.11913925,615895.0447635683,327840537.07437575,1482184800.0,4098006.7134296964,328456432.11913925,0.0
7,2021,horizon,8760,334371258.9401075,680789.9347002249,333690469.0054073,1508673600.0,4171130.862567591,334371258.9401075,0.0
7,2022,horizon,8760,337348303.8470334,1874533.602748998,335473770.2442844,1517310000.0,4193422.1280535553,337348303.8470334,0.0
7,2023,horizon,8760,337612105.2058767,869009.4952344238,336743095.7106422,1521558000.0,4209288.696383028,337612105.20587665,1.7654771217117223e-14
7,2024,horizon,8784,335430303.1214062,669642.4060696601,334760660.71533656,1513245600.0,4184508.258941707,335430303.1214062,0.0
7,2025,horizon,8616,328176476.43792385,641057.1565112708,327535419.28141254,1482051600.0,4094192.7410176573,328176476.43792385,0.0
13,2021,horizon,8760,334579001.1961775,695262.3397344841,333883738.85644305,1508673600.0,4173546.735705538,334579001.19617754,-1.7814819388632807e-14
13,2022,horizon,8760,337556096.05378914,1855560.7792181557,335700535.27457106,1517346000.0,4196256.690932138,337556096.0537892,-1.7657700593234935e-14
13,2023,horizon,8760,337437538.48371875,878700.0765661343,336558838.40715265,1521525600.0,4206985.480089408,337437538.4837188,-1.7663904568301762e-14
13,2024,horizon,8784,335998299.01348436,664197.1728285288,335334101.8406558,1513242000.0,4191676.2730081985,335998299.01348436,0.0
13,2025,horizon,8616,328447354.17104447,634756.26985373,327812597.9011907,1482102000.0,4097657.4737648834,328447354.1710444,1.814739684106285e-14
19,2021,horizon,8760,334668165.81281877,728406.5210440648,333939759.2917747,1508673600.0,4174246.991147184,334668165.8128187,1.78100730407468e-14
19,2022,horizon,8760,337580397.325907,1823250.35946535,335757146.96644163,1517310000.0,4196964.337080521,337580397.325907,0.0
19,2023,horizon,8760,337030367.3984231,885070.8680849837,336145296.53033805,1521579600.0,4201816.206629226,337030367.3984231,0.0
19,2024,horizon,8784,334851584.67282104,709995.721344287,334141588.9514767,1513242000.0,4176769.861893459,334851584.67282104,0.0
19,2025,horizon,8616,328440901.5257241,627285.7560533935,327813615.76967067,1482123600.0,4097670.1971208835,328440901.52572405,1.8147753370090627e-14
23,2021,horizon,8760,334656944.84122753,693572.9660164763,333963371.875211,1508673600.0,4174542.1484401384,334656944.84122753,0.0
23,2022,horizon,8760,337674434.3961134,1838518.4657649684,335835915.9303484,1517292000.0,4197948.949129355,337674434.3961134,0.0
23,2023,horizon,8760,337252720.7625053,854168.5056754588,336398552.25682986,1521576000.0,4204981.903210374,337252720.7625053,0.0
23,2024,horizon,8784,335200186.4673496,681613.1382928632,334518573.32905674,1513245600.0,4181482.166613209,335200186.4673496,0.0
23,2025,horizon,8616,328253571.8661754,635902.8341790445,327617669.0319964,1482040800.0,4095220.8628999554,328253571.8661755,-1.815811003564361e-14
31,2021,horizon,8760,334500056.7138114,699770.7870405172,333800285.92677087,1508673600.0,4172503.5740846363,334500056.7138114,0.0
31,2022,horizon,8760,337635435.0785042,1866467.3670234077,335768967.71148086,1517292000.0,4197112.096393511,337635435.0785042,0.0
31,2023,horizon,8760,337825057.5370972,889292.5307503215,336935765.0063469,1521597600.0,4211697.062579336,337825057.5370972,0.0
31,2024,horizon,8784,336148201.85028815,697258.6986391412,335450943.15164906,1513314000.0,4193136.7893956127,336148201.85028815,0.0
31,2025,horizon,8616,328213593.0943059,606077.5589482447,327607515.5353577,1481965200.0,4095093.944191971,328213593.09430593,-1.816032182380221e-14
37,2021,horizon,8760,334717423.41190624,700693.0679180457,334016730.3439883,1508673600.0,4175209.129299854,334717423.4119063,-1.7807452079374014e-14
37,2022,horizon,8760,337710903.6519904,1850413.7697366304,335860489.8822538,1517418000.0,4198256.123528173,337710903.6519905,-1.7649606255181187e-14
37,2023,horizon,8760,337402263.37634647,869874.112266392,336532389.26408005,1521457200.0,4206654.865801001,337402263.37634647,0.0
37,2024,horizon,8784,335753500.9644886,676666.5600151333,335076834.40447354,1513105200.0,4188460.430055919,335753500.9644887,-1.7752501345233856e-14
37,2025,horizon,8616,328176811.42977655,625444.4993067165,327551366.9304698,1482188400.0,4094392.0866308725,328176811.42977655,0.0
42,2021,horizon,8760,334620243.4150151,708380.1299104614,333911863.28510463,1508673600.0,4173898.291063808,334620243.4150151,0.0
42,2022,horizon,8760,337805326.88983285,1868333.1975920708,335936993.6922408,1517389200.0,4199212.421153009,337805326.88983285,0.0
