time,m_dot,pinn_cost_eur,true_cost_eur,abs_error_eur,rel_error
2023-01-04 14:00:00+00:00,10.0,8057.318303263871,8057.347187225256,-0.028883961384963186,-3.5847979135139596e-06
2023-01-05 16:00:00+00:00,10.0,8065.9571108311,8065.997367418042,-0.04025658694172307,-4.990900084433925e-06
2023-01-06 18:00:00+00:00,10.0,8027.774138101067,8027.795000587888,-0.020862486820988124,-2.598781710272391e-06
2023-01-07 20:00:00+00:00,80.0,63937.27941684902,63937.310170456934,-0.030753607912629377,-4.809962732554851e-07
2023-01-08 23:00:00+00:00,80.0,63948.06720116821,63948.122443087006,-0.055241918795218226,-8.638552108086728e-07
2023-01-10 01:00:00+00:00,64.0,51174.640377503914,51174.539710004894,0.10066749902034644,1.9671402926579873e-06
2023-01-11 03:00:00+00:00,80.0,63866.27945818153,63866.27022219045,0.00923599108500639,1.446145367900442e-07
2023-01-12 05:00:00+00:00,10.0,8005.873615442176,8005.864697710831,0.008917731344808999,1.1138998323723115e-06
2023-01-13 07:00:00+00:00,10.0,8009.977935710471,8009.957403822912,0.020531887558718154,2.5632954738785685e-06
2023-01-14 09:00:00+00:00,75.0,59953.499174954435,59953.392413593305,0.10676136113033863,1.7807392849178427e-06
2023-01-15 12:00:00+00:00,80.0,63747.98130161316,63747.97185217812,0.009449435041460674,1.4823114780071478e-07
2023-01-16 14:00:00+00:00,10.0,8023.1771851556705,8023.154080875757,0.023104279913241044,2.8797003872593763e-06
2023-01-17 16:00:00+00:00,80.0,64041.46829552624,64041.37643000295,0.09186552328901598,1.4344714058811547e-06
2023-01-18 18:00:00+00:00,70.0,56100.008140712904,56099.92729458586,0.08084612704260508,1.4411093016697407e-06
2023-01-19 20:00:00+00:00,60.0,48111.36286974444,48111.38698991973,-0.02412017529422883,-5.013402606390827e-07
2023-01-20 22:00:00+00:00,80.0,64058.63300055855,64058.63467076678,-0.0016702082357369363,-2.6073116332625546e-08
2023-01-22 01:00:00+00:00,80.0,63949.89169689351,63949.84174422121,0.04995267229969613,7.811226883092104e-07
2023-01-23 03:00:00+00:00,10.0,8022.94989774353,8022.939974733216,0.009923010313286795,1.2368296840037374e-06
2023-01-24 05:00:00+00:00,10.0,8039.056384844996,8039.064000701391,-0.007615856395204901,-9.473561094486271e-07
2023-01-25 07:00:00+00:00,10.0,8026.176136743939,8026.15911469015,0.01702205378933286,2.1208218707879922e-06
2023-01-26 09:00:00+00:00,10.0,8043.094118397749,8043.075979077129,0.018139320620321087,2.2552715737145235e-06
2023-01-27 11:00:00+00:00,10.0,8034.3090554029595,8034.293702107892,0.015353295067143335,1.910970103491394e-06
2023-01-28 14:00:00+00:00,10.0,7992.052691759195,7992.043464480154,0.009227279040715075,1.1545581655170167e-06
2023-01-29 16:00:00+00:00,80.0,63718.52988648208,63718.501370328726,0.028516153353848495,4.4753333394709216e-07
2023-01-30 18:00:00+00:00,55.0,43891.61320955726,43891.59019613706,0.02301342019927688,5.243241381069907e-07
2023-01-31 20:00:00+00:00,75.0,59804.744441106035,59804.67322669782,0.07121440821356373,1.1907833346036512e-06
2023-02-01 22:00:00+00:00,80.0,63737.87160160654,63737.8103184663,0.061283140239538625,9.614880074337862e-07
2023-02-03 00:00:00+00:00,80.0,63794.45648999326,63794.38045186987,0.07603812339220895,1.1919251015068966e-06
2023-02-04 02:00:00+00:00,80.0,63705.17792408459,63705.131402044106,0.04652204048761632,7.302714783996578e-07
2023-02-05 05:00:00+00:00,80.0,63616.33807153694,63616.307296348205,0.030775188737607095,4.837625766640485e-07
2023-02-06 07:00:00+00:00,10.0,8024.043603677666,8024.028574096041,0.015029581625640276,1.873071797664494e-06
2023-02-07 09:00:00+00:00,40.0,32006.487328963245,32006.526529663093,-0.039200699848152,-1.2247720729829936e-06
2023-02-08 11:00:00+00:00,65.0,51967.42105232216,51967.37739503115,0.04365729101118632,8.40090325970877e-07
2023-02-09 13:00:00+00:00,80.0,63812.598955489106,63812.58560354732,0.013351941786822863,2.0923680899009867e-07
2023-02-10 15:00:00+00:00,80.0,63990.43084216193,63990.42161406798,0.009228093949786853,1.4421055083424505e-07
2023-02-11 18:00:00+00:00,75.0,60033.563895336534,60033.55121013459,0.012685201945714653,2.113018751082052e-07
2023-02-12 20:00:00+00:00,65.0,52078.657868588656,52078.708809111515,-0.05094052285858197,-9.781448891965638e-07
2023-02-13 22:00:00+00:00,80.0,63891.746099519405,63891.745784951716,0.00031456768920179456,4.923448093663296e-09
2023-02-15 00:00:00+00:00,80.0,64002.788462477,64002.81262197412,-0.02415949711576104,-3.7747555348133233e-07
2023-02-16 02:00:00+00:00,80.0,63894.87855045614,63894.84337047272,0.035179983417037874,5.505919031811857e-07
2023-02-17 04:00:00+00:00,10.0,8028.542236156348,8028.520334849207,0.021901307140979043,2.7279381789035995e-06
2023-02-18 07:00:00+00:00,65.0,52025.13363022042,52025.02378065434,0.10984956608444918,2.111475557287079e-06
2023-02-19 09:00:00+00:00,80.0,63976.49814407793,63976.36782922986,0.13031484807288507,2.0369216398030687e-06
2023-02-20 11:00:00+00:00,50.0,40036.64905575896,40036.59359315164,0.05546260731352959,1.3852978570927377e-06
2023-02-21 13:00:00+00:00,60.0,48052.81690420882,48052.726084686605,0.09081952221458778,1.889997292892076e-06
2023-02-22 15:00:00+00:00,10.0,8032.552524313386,8032.53068149759,0.021842815795935167,2.719294411868134e-06
2023-02-23 17:00:00+00:00,50.0,40050.23414318674,40050.21394381791,0.020199368831526954,5.043510844515708e-07
2023-02-24 20:00:00+00:00,65.0,52031.75783273183,52031.706857945785,0.05097478604875505,9.796869855360768e-07
2023-02-25 22:00:00+00:00,80.0,63844.63259143465,63844.59762241765,0.03496901700418675,5.477208457893568e-07
2023-02-27 00:00:00+00:00,80.0,63935.5665215128,63935.54621622194,0.020305290861870162,3.175900116225705e-07
2023-02-28 02:00:00+00:00,80.0,63757.424335541065,63757.431679621994,-0.00734408092830563,-1.1518784137631854e-07
2023-03-01 04:00:00+00:00,10.0,8021.534464802659,8021.546197889905,-0.011733087245374918,-1.462696462284363e-06
2023-03-02 06:00:00+00:00,10.0,8039.885976890541,8039.885610199269,0.00036669127257482614,4.5609016119385615e-08
2023-03-03 09:00:00+00:00,65.0,52083.387628385564,52083.37471655106,0.012911834506667219,2.4790702557453415e-07
2023-03-04 11:00:00+00:00,80.0,64015.237052040175,64015.20719024388,0.02986179629806429,4.664797257358799e-07
2023-03-05 13:00:00+00:00,75.0,60059.87005445393,60059.88134707257,-0.011292618641164154,-1.880226598860446e-07
2023-03-06 15:00:00+00:00,10.0,8030.598066812346,8030.60367489333,-0.005608080984529806,-6.983386569014982e-07
2023-03-07 17:00:00+00:00,10.0,8030.4902273122,8030.490977437332,-0.0007501251320718438,-9.340962270343312e-08
2023-03-08 19:00:00+00:00,10.0,8034.361200859382,8034.369049560968,-0.007848701586226525,-9.768908469931503e-07
2023-03-09 21:00:00+00:00,10.0,8022.243885484893,8022.257656037891,-0.013770552997812047,-1.7165433457977386e-06
2023-03-11 00:00:00+00:00,75.0,59984.635060884684,59984.7025439147,-0.06748303001222666,-1.125003995183782e-06
2023-03-12 02:00:00+00:00,65.0,51981.82450498838,51981.91944968555,-0.0949446971717407,-1.8264946384238812e-06
2023-03-13 04:00:00+00:00,70.0,55949.65834553988,55949.74436760868,-0.08602206879731966,-1.5374881471297286e-06
2023-03-14 06:00:00+00:00,10.0,8011.154071054045,8011.164712541099,-0.010641487054272147,-1.3283320761114936e-06
2023-03-15 08:00:00+00:00,10.0,8021.163341706578,8021.169602723874,-0.006261017296310456,-7.805616395462067e-07
2023-03-16 10:00:00+00:00,10.0,8005.000350103767,8005.001432582773,-0.00108247900607239,-1.3522533570675677e-07
2023-03-17 13:00:00+00:00,10.0,7989.397203860839,7989.394691028842,0.0025128319966825075,3.1452094861883495e-07
2023-03-18 15:00:00+00:00,10.0,7964.1099727453675,7964.107346669572,0.0026260757958880276,3.2973887487131037e-07
2023-03-19 17:00:00+00:00,10.0,8001.336787346542,8001.309420733542,0.027366613000594953,3.4202668039995388e-06
2023-03-20 19:00:00+00:00,10.0,7979.892350167277,7979.871217177605,0.02113298967196897,2.648287058315546e-06
2023-03-21 21:00:00+00:00,50.0,39753.12659807626,39753.086987945295,0.03961013096704846,9.964039013876658e-07
2023-03-22 23:00:00+00:00,80.0,63504.12720225531,63504.11925600208,0.007946253230329603,1.2512972902278818e-07
2023-03-24 02:00:00+00:00,80.0,63571.201726486266,63571.18625929572,0.015467190547497012,2.433050483308108e-07
2023-03-25 04:00:00+00:00,80.0,63481.32750803429,63481.328790762695,-0.0012827284081140533,-2.0206388784416163e-08
2023-03-26 06:00:00+00:00,80.0,63607.16252470064,63607.20084873979,-0.038324039152939804,-6.025110150797985e-07
2023-03-27 08:00:00+00:00,10.0,7969.391130554326,7969.406179428056,-0.01504887372993835,-1.8883306223127505e-06
2023-03-28 10:00:00+00:00,80.0,63624.22376681765,63624.263916404605,-0.040149586951883975,-6.310420660460281e-07
2023-03-29 12:00:00+00:00,10.0,7971.784845749222,7971.802887987297,-0.01804223807539529,-2.2632569230962574e-06
2023-03-30 15:00:00+00:00,70.0,55703.03084959859,55703.17527947119,-0.14442987259826623,-2.59284810733007e-06
2023-03-31 17:00:00+00:00,80.0,63649.12073652064,63649.28044926674,-0.15971274609910324,-2.509262398087131e-06
2023-04-01 19:00:00+00:00,80.0,63577.715025383506,63577.82139263506,-0.10636725155200111,-1.6730244796203664e-06
2023-04-02 21:00:00+00:00,80.0,63610.883804107834,63611.013614843294,-0.12981073545961408,-2.0406959122531987e-06
2023-04-03 23:00:00+00:00,55.0,43792.065718551115,43792.15572407672,-0.09000552560610231,-2.055288763846974e-06
2023-04-05 01:00:00+00:00,40.0,31862.743097921277,31862.78898480304,-0.045886881762271514,-1.4401401516872525e-06
2023-04-06 03:00:00+00:00,55.0,43803.20231837864,43803.24598475091,-0.043666372272127774,-9.968752610056697e-07
2023-04-07 06:00:00+00:00,80.0,63606.967253815164,63607.04980690864,-0.08255309347441653,-1.297860751647839e-06
2023-04-08 08:00:00+00:00,80.0,63613.49821196966,63613.64250650618,-0.14429453651973745,-2.268295460461367e-06
2023-04-09 10:00:00+00:00,80.0,63650.18754780364,63650.18905252414,-0.0015047205015434884,-2.3640471802366392e-08
2023-04-10 12:00:00+00:00,80.0,63695.46453951309,63695.4626832753,0.0018562377881607972,2.914238650397749e-08
2023-04-11 14:00:00+00:00,80.0,63957.58802978934,63957.52293387677,0.06509591257054126,1.0177991514037643e-06
2023-04-12 16:00:00+00:00,80.0,64129.312625036255,64129.32297052721,-0.010345490954932757,-1.6132231672738584e-07
2023-04-13 19:00:00+00:00,80.0,64260.14340104514,64260.15886800737,-0.015466962227947079,-2.4069287252181937e-07
2023-04-14 21:00:00+00:00,80.0,64306.88175819312,64306.92809748161,-0.04633928848488722,-7.205955852018775e-07
2023-04-15 23:00:00+00:00,65.0,52305.702120127906,52305.58178881819,0.12033130971394712,2.300544331923504e-06
2023-04-17 01:00:00+00:00,10.0,8052.438014326734,8052.4134983165,0.02451601023403782,3.0445543115487084e-06
2023-04-18 03:00:00+00:00,10.0,8057.647273443533,8057.617129628886,0.03014381464709004,3.7410333801890516e-06
2023-04-19 05:00:00+00:00,10.0,8065.200702372087,8065.20958284079,-0.008880468702955113,-1.1010834388702762e-06
2023-04-20 08:00:00+00:00,10.0,8062.995381157106,8062.973042425777,0.02233873132900044,2.7705328060623202e-06
2023-04-21 10:00:00+00:00,10.0,8035.280052247847,8035.287399583314,-0.007347335466874938,-9.143836556813056e-07
2023-04-22 12:00:00+00:00,10.0,8003.601501418273,8003.5997989418365,0.00170247643654875,2.1271383876531047e-07
2023-04-23 14:00:00+00:00,10.0,7992.73927300955,7992.717994831807,0.021278177742715343,2.6621954829497696e-06
2023-04-24 16:00:00+00:00,10.0,7989.380257333633,7989.21442213888,0.1658351947535266,2.0757384392444678e-05
2023-04-25 18:00:00+00:00,10.0,7977.155705482673,7977.275072168181,-0.11936668550879403,-1.4963340793539004e-05
2023-04-26 21:00:00+00:00,80.0,63572.74909443337,63572.62509892756,0.123995505811763,1.950454391552725e-06
2023-04-27 23:00:00+00:00,60.0,47717.59359024583,47717.55450505897,0.039085186857846566,8.19094508663909e-07
2023-04-29 01:00:00+00:00,10.0,7957.52142914126,7957.532259544192,-0.01083040293178783,-1.3610253252194227e-06
2023-04-30 03:00:00+00:00,80.0,63565.32238439101,63565.59821210807,-0.2758277170578367,-4.339260933794442e-06
2023-05-01 05:00:00+00:00,70.0,55631.5295820249,55631.01653135485,0.513050670051598,9.222385317420034e-06
2023-05-02 07:00:00+00:00,10.0,7964.317638129875,7964.223949841615,0.09368828826063691,1.1763643118278821e-05
2023-05-03 10:00:00+00:00,50.0,39754.781072655074,39754.741644983216,0.03942767185799312,9.91772810543523e-07
2023-05-04 12:00:00+00:00,70.0,55627.89575812016,55627.89451760486,0.001240515302924905,2.230023832261452e-08
2023-05-05 14:00:00+00:00,45.0,35779.19017516598,35779.18558424346,0.00459092252276605,1.283126613849106e-07
2023-05-06 16:00:00+00:00,55.0,43723.67229128579,43723.65042216336,0.021869122429052368,5.001668941240212e-07
2023-05-07 18:00:00+00:00,10.0,7959.312934177069,7959.312926203869,7.973199899424799e-06,1.001744687201267e-09
2023-05-08 20:00:00+00:00,60.0,47692.42015290784,47692.4201427971,1.011074346024543e-05,2.1199886290901304e-10
2023-05-09 22:00:00+00:00,60.0,47696.95620759795,47696.956205455324,2.1426239982247353e-06,4.492162197777816e-11
2023-05-11 01:00:00+00:00,80.0,63452.74658678763,63452.74658623353,5.541005521081388e-07,8.732570222491631e-12
2023-05-12 03:00:00+00:00,55.0,43739.878252093324,43739.878250999966,1.0933581506833434e-06,2.4996893444040325e-11
2023-05-13 05:00:00+00:00,55.0,43734.17181654437,43734.17181550223,1.042135409079492e-06,2.382893882213466e-11
