seed,year,strategy,n_hours,total_cost_eur,electricity_cost_eur,carbon_cost_eur,delivered_mass_kg,co2_t,reported_total_eur,relative_total_error_pct
53,2021,horizon,8760,340981460.8244178,712002.9340628088,340269457.890355,1535914800.0,4253368.223629437,340981460.8244178,0.0
53,2022,horizon,8760,339055490.5213642,1902607.9940875217,337152882.52727664,1524279600.0,4214411.031590958,339055490.5213642,0.0
53,2023,horizon,8760,335471315.6244738,926493.403983431,334544822.2204904,1510920000.0,4181810.2777561303,335471315.6244738,0.0
53,2024,horizon,8784,329114843.47461367,662548.7282863879,328452294.7463272,1483232400.0,4105653.6843290906,329114843.47461367,0.0
53,2025,horizon,8616,330042362.86948115,659511.0105107297,329382851.8589704,1488844800.0,4117285.6482371306,330042362.86948115,0.0
0,2021,lagged,8760,340738449.918858,717315.8632236121,340021134.0556344,1535950800.0,4250264.1756954305,340738449.918858,0.0
0,2022,lagged,8760,339206046.06204414,1915515.7579487665,337290530.3040954,1524542400.0,4216131.628801192,339206046.06204414,0.0
0,2023,lagged,8760,335421963.2073444,886663.976380701,334535299.2309637,1511492400.0,4181691.2403870462,335421963.2073444,0.0
0,2024,lagged,8784,329051007.4824172,683693.1520260092,328367314.33039117,1483380000.0,4104591.42912989,329051007.4824172,0.0
0,2025,lagged,8616,329862937.9375091,641925.0904080877,329221012.847101,1488672000.0,4115262.6605887627,329862937.93750906,1.80695185546072e-14
1,2021,lagged,8760,340309699.1625111,722047.6662222904,339587651.4962888,1535947200.0,4244845.64370361,340309699.16251105,1.7514823974184497e-14
1,2022,lagged,8760,338784205.3512128,1931943.7897206673,336852261.56149215,1523872800.0,4210653.269518652,338784205.3512128,0.0
1,2023,lagged,8760,335194126.4272673,877473.183681914,334316653.24358535,1511053200.0,4178958.165544817,335194126.4272673,0.0
1,2024,lagged,8784,328959204.2116504,686275.0946106995,328272929.1170397,1483495200.0,4103411.613962996,328959204.2116504,0.0
1,2025,lagged,8616,329887770.1877413,649453.4079132552,329238316.7798281,1488506400.0,4115478.959747851,329887770.1877413,0.0
7,2021,lagged,8760,340437595.9910844,722609.8435762834,339714986.14750814,1535950800.0,4246437.326843851,340437595.9910844,0.0
7,2022,lagged,8760,338907196.1901772,1930133.9089051466,336977062.28127205,1524056400.0,4212213.2785159,338907196.1901772,0.0
7,2023,lagged,8760,335319289.1961168,883464.2341459077,334435824.9619709,1511154000.0,4180447.8120246367,335319289.1961168,0.0
7,2024,lagged,8784,328771566.5038885,692167.7764466831,328079398.7274418,1483156800.0,4100992.484093022,328771566.5038884,1.8129501102914165e-14
7,2025,lagged,8616,329665384.0987314,646114.7575820877,329019269.3411493,1488654000.0,4112740.8667643666,329665384.0987314,0.0
13,2021,lagged,8760,340656652.7406807,725552.7555144774,339931099.9851662,1535983200.0,4249138.749814577,340656652.7406807,0.0
13,2022,lagged,8760,339119897.26540947,1926748.1207273458,337193149.1446821,1524157200.0,4214914.364308527,339119897.26540947,0.0
13,2023,lagged,8760,335178377.74523365,879980.2216877372,334298397.523546,1511294400.0,4178729.969044324,335178377.74523365,0.0
13,2024,lagged,8784,329494205.94123185,688503.4506088212,328805702.49062306,1483668000.0,4110071.2811327884,329494205.9412319,-1.8089739880288402e-14
13,2025,lagged,8616,329851982.786046,643728.2143235514,329208254.5717225,1488484800.0,4115103.1821465306,329851982.786046,0.0
19,2021,lagged,8760,340674533.07535636,715292.332695862,339959240.7426605,1535947200.0,4249490.509283258,340674533.0753564,-1.7496067063576546e-14
19,2022,lagged,8760,339352687.5039271,1924036.8319486864,337428650.6719785,1524614400.0,4217858.133399731,339352687.5039272,-1.7564217691572237e-14
19,2023,lagged,8760,334728613.78846896,879619.4429202022,333848994.34554875,1511247600.0,4173112.42931936,334728613.78846896,0.0
19,2024,lagged,8784,328243582.9141703,686146.9253240221,327557435.9888463,1483426800.0,4094467.9498605784,328243582.9141703,0.0
19,2025,lagged,8616,329914145.5428206,651700.9334281719,329262444.6093924,1488657600.0,4115780.5576174054,329914145.5428206,0.0
23,2021,lagged,8760,340726339.8941579,713411.7616528957,340012928.132505,1535947200.0,4250161.601656312,340726339.8941579,0.0
23,2022,lagged,8760,339392791.25784576,1928729.258143323,337464061.99970245,1524632400.0,4218300.77499628,339392791.25784576,0.0
23,2023,lagged,8760,334928715.17241913,883448.2520883204,334045266.9203308,1511006400.0,4175565.8365041353,334928715.17241913,0.0
23,2024,lagged,8784,328653017.6114798,691670.1229676709,327961347.48851216,1483560000.0,4099516.843606402,328653017.6114798,0.0
23,2025,lagged,8616,329715705.4407811,639841.4477012954,329075863.99307984,1488603600.0,4113448.2999134976,329715705.4407811,0.0
