time,m_dot,cost_eur,true_cost_eur
2022-11-29 02:00:00+00:00,75.0,60678.284133085544,60677.526822006694
2022-11-29 03:00:00+00:00,80.0,64724.197373565185,64723.48770148038
2022-11-29 04:00:00+00:00,75.0,60737.96294575174,60739.65399314788
2022-11-29 05:00:00+00:00,60.0,48654.63338596537,48656.04304729061
2022-11-29 06:00:00+00:00,55.0,44653.914208072245,44655.30352159092
2022-11-29 07:00:00+00:00,44.0,35765.81239505774,35766.757281943464
2022-11-29 08:00:00+00:00,40.0,32516.800389736465,32517.760285198707
2022-11-29 09:00:00+00:00,40.0,32517.323053606397,32518.287121182195
2022-11-29 10:00:00+00:00,45.0,36570.50654688474,36571.62751700748
2022-11-29 11:00:00+00:00,50.0,40615.4961196013,40616.762184312196
2022-11-29 12:00:00+00:00,45.0,36559.17132948402,36560.26414148531
2022-11-29 13:00:00+00:00,40.0,32517.74076253029,32518.70680408444
2022-11-29 14:00:00+00:00,40.0,32521.589891349995,32522.564315014963
2022-11-29 15:00:00+00:00,10.0,8146.56112307456,8146.749935922733
2022-11-29 16:00:00+00:00,10.0,8156.961995138531,8157.167660120315
2022-11-29 17:00:00+00:00,10.0,8154.734726998737,8155.180849168625
2022-11-29 18:00:00+00:00,10.0,8145.982803714915,8146.397121774405
2022-11-29 19:00:00+00:00,55.0,44652.78411214099,44655.27571041554
2022-11-29 20:00:00+00:00,65.0,52704.59379418632,52707.31588916909
2022-11-29 21:00:00+00:00,70.0,56709.25477007482,56711.9694624395
2022-11-29 22:00:00+00:00,75.0,60731.16809632064,60733.955699440376
2022-11-29 23:00:00+00:00,60.0,48658.89179802443,48661.39847582594
2022-11-30 00:00:00+00:00,75.0,60742.11088057182,60744.96633454239
2022-11-30 01:00:00+00:00,75.0,60716.84299396265,60719.560038006246
2022-11-30 02:00:00+00:00,75.0,60710.51823588892,60713.19916434934
2022-11-30 03:00:00+00:00,75.0,60726.981471683255,60729.69172428888
2022-11-30 04:00:00+00:00,70.0,56703.220900147106,56705.84252951146
2022-11-30 05:00:00+00:00,60.0,48675.85817878707,48678.388723639786
2022-11-30 06:00:00+00:00,45.0,36581.433281662525,36583.51943463772
2022-11-30 07:00:00+00:00,10.0,8154.093682514621,8154.527130487321
2022-11-30 08:00:00+00:00,10.0,8154.222981055571,8154.657331627754
2022-11-30 09:00:00+00:00,10.0,8153.213379412578,8153.644366755366
2022-11-30 10:00:00+00:00,10.0,8155.247338115913,8155.685920636974
2022-11-30 11:00:00+00:00,39.0,31719.244709992116,31721.04039664083
2022-11-30 12:00:00+00:00,10.0,8146.923235526221,8147.332215468302
2022-11-30 13:00:00+00:00,10.0,8150.496473204238,8150.917954875186
2022-11-30 14:00:00+00:00,10.0,8149.074751598357,8149.490950376296
2022-11-30 15:00:00+00:00,10.0,8154.1713948806055,8154.60525117159
